Survey order	Use case	Must have	Nice to have	Not important	Weighted Score	Caleb Sunstrum	Barry Revzin	Alisdair Meredith	Lisa Lippincott	Timur Doumler	John Lakos	Attila Fehér	Fabio Fracassi	Rostislav Khlebnikov	Vittorio Romeo	Andrzej Krzemienski		Ville Voutilainen	Tomasz Kamiński	Miguel Ojeda	Gašper Ažman	Jonathan Caves		Joshua Berne	Balog Pal	Tom Honermann	John McFarlane	Roger Orr	Aaron Ballman	Dr Peter Brett	Thomas Russell	Tony Van Eerd	Hal Finkel	Herb Sutter	Ryan McDougall
11	As a: DeveloperIn order to: Have readable annotationsI want to: Have my contract specification to be visually primary, and secondary information (syntax, hints, roles, levels, etc.) to not be distracting	5	17	6	0.96	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Not important
12	As a: DeveloperIn order to: Interoperate with tools or personsI want to: A syntax that can both be parsed and can be reasoned about semantically	21	6	1	1.71	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have
13	As a: DeveloperIn order to: Interoperate with tools or personsI want to: Expose annotations to tools that might leverage them (eg. code linter, static analyzer, semantic prover, compiler sanitizer, binary analyzer, code reviewer, etc.)	18	9	1	1.61	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have
14	As a: C++ DeveloperIn order to: Get up to speedI want to: Have annotations use familiar syntax	3	13	12	0.68	Not important	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Must have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have
15	As a: C++ DeveloperIn order to: Get up to speedI want to: Have annotations use C++ syntax	9	10	8	1.04	Not important	Must have	Nice to have		Not important	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Not important	Must have	Nice to have	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have
16	As a: C++ DeveloperIn order to: Reuse codeI want to: Have annotations use my custom types or functions	19	8	1	1.64	Nice to have	Must have	Nice to have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have
17	As a: C++ DeveloperIn order to: Have a single source of truthI want to: Use same source file for both code and annotations	23	4	1	1.79	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have
18	As a: C++ DeveloperIn order to: Support modern featuresI want to: Minimize use of macros	6	17	5	1.04	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have
19	As a: C++ DeveloperIn order to: Support modern featuresI want to: Be interoperable with modules	22	6	0	1.79	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have
20	As a: C++ DeveloperIn order to: Support modern featuresI want to: Be interoperable with coroutines	15	10	3	1.43	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have
21	As a: C++ DeveloperIn order to: Support modern featuresI want to: Be interoperable with concepts	17	9	2	1.54	Must have	Must have	Not important	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Not important	Must have
22	As a: C++ DeveloperIn order to: Use the standard library in-contractI want to: Codify existing exposition-only standard library requirements	7	16	5	1.07	Nice to have	Nice to have	Not important	Must have	Must have	Not important	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have
23	As a: C++ DeveloperIn order to: Use DebuggerI want to: Have runtime able to launch a debugger from an annotation if necessary	8	11	9	0.96	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Must have	Not important	Must have	Not important	Not important	Must have	Not important	Must have	Not important	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important
24	As a: C++ DeveloperIn order to: Use existing build modesI want to: Have annotations affect executions depending on my existing build modes (eg. Debug or Release modes in VS)	8	11	9	0.96	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Not important	Not important	Not important	Not important	Not important	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have
25	As a: C DeveloperIn order to: Write contracts on my functionsI want to: Specify contracts in a way standardizable as part of the C language	2	6	19	0.37	Nice to have	Not important		Not important	Not important	Not important	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Must have	Not important	Not important	Not important	Not important	Not important	Not important
26	As a: C DeveloperIn order to: Write contracts on my functionsI want to: Use contracts with macro-safe keywords that are reserved C names (i.e., _Pre, _Post, _Assert, etc.)	1	6	20	0.30	Nice to have	Not important		Not important	Not important	Not important	Not important	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Must have	Not important	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Not important	Not important	Not important
27	As a: C DeveloperIn order to: Write contracts on my functionsI want to: Have a common violation handler for both violated C and C++ contracts	2	11	14	0.56	Nice to have	Not important		Not important	Not important	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Must have	Nice to have	Not important	Nice to have	Not important	Not important	Not important
28	As a: C DeveloperIn order to: Write contracts on my functionsI want to: Make all contract semantics optional (so as not to change WG14-N2385 6.7.11 p2)	3	3	21	0.33	Not important	Not important		Not important	Not important	Not important	Not important	Not important	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Must have	Not important	Nice to have	Not important	Not important	Not important	Must have	Not important	Not important	Must have	Not important	Not important	Not important	Not important	Not important	Not important
29	As a: Mixed C/C++ DeveloperIn order to: Maintain mixed code baseI want to: Not lose contracts when crossing languages	3	13	11	0.70	Nice to have	Not important		Nice to have	Not important	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Not important	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have
30	As a: Mixed C/C++ DeveloperIn order to: Write contracts on my functionsI want to: Expose my contracts to C++ developers through 'extern "C"' declarations of my functions	1	12	14	0.52	Nice to have	Not important		Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Not important
31	As an: API DeveloperIn order to: Communicate my interface to usersI want to: Document the expected inputs and expected outputs on my interface	20	5	3	1.61	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have
32	As an: API DeveloperIn order to: Establish a contractI want to: Have validation inform me which output values are unexpected or invalid	12	14	2	1.36	Must have	Nice to have	Not important	Must have	Must have	Not important	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have
33	As an: API DeveloperIn order to: Establish a contractI want to: Have validation inform me which class invariants are violated	12	14	2	1.36	Must have	Nice to have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have
34	As an: API DeveloperIn order to: Establish a contractI want to: Have validation inform user which input values are unexpected or invalid	16	11	1	1.54	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Not important	Must have	Must have
35	As an: API DeveloperIn order to: Establish a contractI want to: Have contracts specify their pre-conditions as logical predicates	23	3	2	1.75	Must have	Must have	Nice to have	Not important	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have
36	As an: API DeveloperIn order to: Establish a contractI want to: Have contracts specify their class invariants as logical predicates	10	13	5	1.18	Must have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have
37	As an: API DeveloperIn order to: Establish a contractI want to: Have contracts specify their post-conditions as logical predicates	18	5	5	1.46	Must have	Must have	Not important	Not important	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have
38	As an: API DeveloperIn order to: Express predicatesI want to: Make reference to either the values of my inputs, or other in-scope identifiers	24	2	2	1.79	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have
39	As an: API DeveloperIn order to: Establish a contractI want to: Make reference to the before and after values of in-out variables (ie. passed by pointer or reference) in post-conditions	11	10	7	1.14	Must have	Must have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Not important	Not important	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Must have	Nice to have
40	As an: API DeveloperIn order to: Establish a contractI want to: Make reference to the before and after values of mutable class members (eg. new_size = old_size+1 after push_back) in post-conditions	8	13	7	1.04	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Not important	Nice to have	Must have	Must have	Not important	Not important	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Must have	Nice to have
41	As an: API DeveloperIn order to: Establish a contractI want to: Make reference to the before and after values of global state (eg., global >= old(global) + 1) in post-conditions	3	12	13	0.64	Nice to have	Not important	Nice to have	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have
42	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as being exception safe	0	16	12	0.57	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Nice to have
43	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as being thread safe	0	16	12	0.57	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Nice to have
44	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as being atomic (ie. all or no changes become visible)	0	15	13	0.54	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important
45	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as real-time (ie. guaranteed to complete within a time frame)	1	9	18	0.39	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Must have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important
46	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as being deterministic (ie. same outputs for same inputs)	6	12	10	0.86	Not important	Must have	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Not important	Nice to have
47	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as functionally pure (ie. no side effects)	5	14	9	0.86	Not important	Must have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Not important	Nice to have
48	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate operations as having global side effects (ie. write to singleton, file, network, or database)	0	16	12	0.57	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Nice to have
49	As an: API DeveloperIn order to: Extend contractual aspectsI want to: Annotate algorithmic complexity	0	11	17	0.39	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important
50	As an: API DeveloperIn order to: Express unrunnable contractsI want to: Be able to use a predicate that is not evaluated at runtime, because it might be unsafe to run or have stateful side effects	9	14	5	1.14	Not important	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Not important	Must have
51	As an: API DeveloperIn order to: Express unrunnable contractsI want to: Be able to use a predicate that doesn’t have a definition, because it hasn’t been written yet, or is infeasible to run	9	12	7	1.07	Not important	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Not important	Must have	Not important	Must have	Must have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have
52	As an: API DeveloperIn order to: Express uncheckable contractsI want to: Be able to use a predicate that is not evaluated, because it is simply a semantic placeholder for a tool	9	12	7	1.07	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Not important	Must have	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Must have
53	As an: API DeveloperIn order to: Express uncheckable contractsI want to: Be able to use a predicate that cannot have a complete definition, because it is inexpressible in the language	9	9	10	0.96	Not important	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Not important	Must have	Must have	Not important	Must have	Not important	Not important	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Must have
54	As an: API DeveloperIn order to: Establish responsibility boundariesI want to: Inform users which errors are the responsibility of the caller, and which are the callee	14	11	3	1.39	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Must have	Must have	Must have	Not important
55	As an: API DeveloperIn order to: Establish responsibility boundariesI want to: Annotate assertions inside function bodies that indirectly test preconditions (such as malformed data discovered while performing the algorithm) should be reported to the caller as precondition failures	5	13	10	0.82	Nice to have	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Must have	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Must have	Not important	Not important
56	As an: API DeveloperIn order to: Have contract as part of my interfaceI want to: Declare contract when I declare the function	19	6	3	1.57	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Must have	Must have	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have
57	As an: API DeveloperIn order to: Keep my user interfaces clean and narrowI want to: Be able to access private implementation details of the class so I don’t have to widen public interface to declare predicates	12	12	4	1.29	Must have	Nice to have	Not important	Must have	Not important	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have
58	As an: API DeveloperIn order to: Keep my public interfaces clean and conciseI want to: Place function contract conditions on any declaration (e.g., on redeclarations at the bottom of the header, or on the definition in an implementation file, where they are less distracting).	7	9	12	0.82	Not important	Nice to have	Nice to have	Nice to have	Not important	Must have	Must have	Must have	Must have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Must have	Nice to have	Nice to have
59	As an: API DeveloperIn order to: Move contract violation out of error handlingI want to: Replace uses of error handling to express contract violation (eg. operator[](size_t n) noexcept [[pre: n < size()]] instead of throwing)	10	11	7	1.11	Must have	Must have	Nice to have	Not important	Nice to have	Not important	Not important	Must have	Nice to have	Must have	Must have	Not important	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Must have
60	As a: C++ API DeveloperIn order to: Write classesI want to: Declare class invariants that all of my public functions need to maintain	10	13	4	1.22	Must have	Nice to have	Nice to have	Not important	Must have		Must have	Nice to have	Nice to have	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Must have
61	As a: C++ API DeveloperIn order to: Maintain a class hierarchyI want to: Ensure overriding methods have same or wider preconditions (see: Liskov substitution principle)	6	19	3	1.11	Must have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important
62	As a: C++ API DeveloperIn order to: Maintain a class hierarchyI want to: Ensure overriding functions meet their base class postconditions when their base class preconditions are met (see: Liskov substitution principle)	8	19	1	1.25	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important
63	As a: C++ API DeveloperIn order to: Maintain a class hierarchy.I want to: Allow overriding functions to have narrower preconditions/wider postconditions if I want to	3	12	13	0.64	Not important	Not important	Not important	Must have	Nice to have	Must have	Not important	Not important	Not important	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have
